Date,Symbol,Open,High,Low,Close,Volume
2010-01-04,RELIANCE,1091.1,1091.1,1021.85,1075.5,17520006
2010-01-05,RELIANCE,1149.9,1149.9,1065.4,1070.7,4890040
2010-01-06,RELIANCE,1079.9,1094.5,1070.65,1088.0,5415538
2010-01-07,RELIANCE,1088.0,1115.0,1078.0,1106.05,5988404
2010-01-08,RELIANCE,1108.0,1113.8,1096.0,1103.15,3453926
2010-01-11,RELIANCE,1134.7,1149.7,1050.0,1081.5,43122135
2010-01-12,RELIANCE,1095.0,1137.3,1077.0,1084.35,7495359
2010-01-13,RELIANCE,1088.0,1092.0,1068.6,1088.6,3511078
2010-01-14,RELIANCE,1086.0,1124.8,1086.0,1121.7,5610718
2010-01-15,RELIANCE,1125.8,1138.9,1105.05,1110.75,4289733
2010-01-18,RELIANCE,1107.0,1116.45,1091.95,1099.5,3239525
2010-01-19,RELIANCE,1100.0,1106.05,1082.65,1085.0,2986363
2010-01-20,RELIANCE,1095.0,1097.1,1072.0,1077.5,4418747
2010-01-21,RELIANCE,1075.0,1077.0,1050.25,1054.05,4254235
2010-01-22,RELIANCE,1041.0,1071.0,1029.5,1053.85,9113512
2010-01-25,RELIANCE,1049.65,1054.4,1036.7,1042.05,3061478
2010-01-27,RELIANCE,1034.0,1050.0,1020.0,1027.55,5678803
2010-01-28,RELIANCE,1040.0,1046.45,1025.0,1037.15,7594324
2010-01-29,RELIANCE,1032.9,1051.8,1018.1,1046.2,5333541
2010-02-01,RELIANCE,1037.5,1055.0,1035.55,1045.4,2773369
2010-02-02,RELIANCE,1052.0,1056.35,1024.1,1027.3,3942831
2010-02-03,RELIANCE,1031.1,1048.4,1031.1,1033.95,3440695
2010-02-04,RELIANCE,1038.0,1038.0,1014.0,1019.15,2737193
2010-02-05,RELIANCE,975.0,1007.75,975.0,981.7,6830723
2010-02-06,RELIANCE,990.0,997.5,985.4,993.75,647435
2010-02-08,RELIANCE,985.0,1004.35,975.0,994.35,5919146
2010-02-09,RELIANCE,993.75,998.0,982.7,993.25,3266918
2010-02-10,RELIANCE,999.9,999.9,982.0,985.1,4174214
2010-02-11,RELIANCE,989.25,1019.8,988.5,1015.15,5360299
2010-02-15,RELIANCE,1027.0,1027.0,1007.6,1010.0,3085557
2010-02-16,RELIANCE,1010.1,1021.0,1005.0,1017.75,2301434
2010-02-17,RELIANCE,1025.0,1037.8,1022.05,1032.55,3572783
2010-02-18,RELIANCE,1030.0,1038.35,995.0,997.8,4533745
2010-02-19,RELIANCE,995.0,995.0,977.15,983.2,4058388
2010-02-22,RELIANCE,995.3,1000.0,970.0,977.95,2901188
2010-02-23,RELIANCE,974.0,983.0,970.0,975.35,2966309
2010-02-24,RELIANCE,970.0,985.7,966.65,978.8,2854453
2010-02-25,RELIANCE,980.1,985.0,959.15,963.1,4332580
2010-02-26,RELIANCE,969.0,995.0,966.25,978.95,5161233
2010-03-02,RELIANCE,985.0,999.0,979.4,983.2,4162636
2010-03-03,RELIANCE,988.0,1028.0,988.0,1024.8,6085791
2010-03-04,RELIANCE,1040.0,1040.0,1008.0,1014.0,4750237
2010-03-05,RELIANCE,1022.0,1026.0,1005.1,1009.8,2691454
2010-03-08,RELIANCE,1021.2,1027.0,1002.0,1004.1,2729580
2010-03-09,RELIANCE,1006.5,1011.8,988.05,990.35,3990953
2010-03-10,RELIANCE,995.0,1018.9,989.3,1008.75,5670503
2010-03-11,RELIANCE,1010.0,1020.0,1007.0,1016.45,3333605
2010-03-12,RELIANCE,1015.0,1033.0,1014.0,1021.6,5105006
2010-03-15,RELIANCE,1022.0,1031.95,1013.1,1028.05,4144602
2010-03-16,RELIANCE,1032.0,1071.8,1029.0,1067.95,7771535
2010-03-17,RELIANCE,1074.8,1082.5,1065.8,1069.7,4937276
2010-03-18,RELIANCE,1074.0,1081.6,1064.1,1076.95,3495591
2010-03-19,RELIANCE,1078.8,1096.5,1070.15,1092.05,4511717
2010-03-22,RELIANCE,1062.0,1099.0,1062.0,1073.95,4678751
2010-03-23,RELIANCE,1077.95,1093.95,1076.95,1091.4,4572931
2010-03-25,RELIANCE,1096.0,1097.0,1077.4,1091.45,5250073
2010-03-26,RELIANCE,1097.0,1111.0,1095.15,1100.45,4131759
2010-03-29,RELIANCE,1103.7,1109.95,1091.0,1093.3,4628760
2010-03-30,RELIANCE,1096.0,1105.7,1083.0,1088.15,4329090
2010-03-31,RELIANCE,1092.9,1095.0,1071.3,1074.25,4948302
2010-04-01,RELIANCE,1078.0,1098.5,1077.0,1092.05,2861856
2010-04-05,RELIANCE,1096.5,1129.65,1096.5,1125.9,4551762
2010-04-06,RELIANCE,1128.0,1133.0,1120.2,1123.2,2853138
2010-04-07,RELIANCE,1125.0,1149.7,1123.1,1129.7,4621626
2010-04-08,RELIANCE,1133.0,1136.5,1101.5,1106.55,3365528
2010-04-09,RELIANCE,1108.2,1131.0,1108.2,1124.7,3846259
2010-04-12,RELIANCE,1145.0,1145.0,1122.65,1127.35,2902957
2010-04-13,RELIANCE,1128.0,1134.0,1111.3,1120.9,3193600
2010-04-15,RELIANCE,1125.0,1134.9,1087.05,1090.7,5551581
2010-04-16,RELIANCE,1086.1,1095.0,1071.15,1084.25,4158779
2010-04-19,RELIANCE,1079.8,1079.8,1051.0,1061.8,3746293
2010-04-20,RELIANCE,1069.85,1079.75,1054.35,1063.2,3828437
2010-04-21,RELIANCE,1070.0,1073.7,1048.15,1054.1,4385951
2010-04-22,RELIANCE,1050.5,1093.9,1050.05,1075.75,5851352
2010-04-23,RELIANCE,1080.0,1096.0,1080.0,1088.2,5311168
2010-04-26,RELIANCE,1080.0,1097.8,1063.5,1071.25,3806402
2010-04-27,RELIANCE,1063.0,1068.0,1055.0,1061.25,3193352
2010-04-28,RELIANCE,1053.95,1053.95,1012.0,1017.25,9168538
2010-04-29,RELIANCE,1024.0,1039.9,1019.15,1035.05,5359600
2010-04-30,RELIANCE,1040.0,1047.2,1030.0,1033.6,3616419
2010-05-03,RELIANCE,1026.0,1032.6,1018.1,1023.75,2865346
2010-05-04,RELIANCE,1024.2,1039.0,1013.5,1021.15,3965640
2010-05-05,RELIANCE,1010.0,1023.55,1003.3,1020.65,3423392
2010-05-06,RELIANCE,1019.8,1023.3,1004.0,1007.85,5454783
2010-05-07,RELIANCE,976.0,1060.0,976.0,1032.8,16472546
2010-05-10,RELIANCE,1051.0,1082.0,1040.0,1079.4,8697783
2010-05-11,RELIANCE,1089.0,1089.0,1063.35,1067.8,6017564
2010-05-12,RELIANCE,1076.05,1089.45,1064.05,1082.95,3496020
2010-05-13,RELIANCE,1062.0,1093.4,1062.0,1071.8,2731043
2010-05-14,RELIANCE,1067.7,1071.0,1035.0,1043.65,4151458
2010-05-17,RELIANCE,1034.7,1034.7,1009.0,1016.55,4711513
2010-05-18,RELIANCE,1020.0,1033.45,1007.8,1020.6,3530511
2010-05-19,RELIANCE,1017.0,1017.75,995.1,998.65,5965445
2010-05-20,RELIANCE,1001.0,1013.0,993.75,999.95,4246454
2010-05-21,RELIANCE,989.9,999.85,976.1,995.55,4381347
2010-05-24,RELIANCE,1018.0,1048.95,1016.45,1022.65,5652017
2010-05-25,RELIANCE,1025.0,1025.0,982.75,985.65,5770796
2010-05-26,RELIANCE,994.9,1010.0,991.0,1008.05,3137663
2010-05-27,RELIANCE,1011.0,1027.7,1001.6,1022.25,6264345
2010-05-28,RELIANCE,1029.95,1039.0,1014.5,1036.65,4008272
2010-05-31,RELIANCE,1030.15,1048.5,1028.75,1045.6,3782780
2010-06-01,RELIANCE,1043.3,1045.0,1004.1,1010.55,4449630
2010-06-02,RELIANCE,1015.0,1021.0,1003.35,1011.05,4509546
2010-06-03,RELIANCE,1019.9,1038.0,1019.9,1030.8,3910363
2010-06-04,RELIANCE,1031.0,1036.0,1022.45,1031.2,3220285
2010-06-07,RELIANCE,1015.0,1015.0,1000.0,1007.75,3086645
2010-06-08,RELIANCE,1009.7,1012.7,995.1,996.4,3480569
2010-06-09,RELIANCE,1000.2,1015.0,1000.0,1007.05,3484176
2010-06-10,RELIANCE,1010.0,1017.45,1007.15,1015.35,3191686
2010-06-11,RELIANCE,1025.0,1050.85,1021.0,1046.4,5327604
2010-06-14,RELIANCE,1054.9,1070.0,1049.1,1063.5,3632863
2010-06-15,RELIANCE,1065.2,1069.9,1050.1,1066.1,4341443
2010-06-16,RELIANCE,1070.0,1072.65,1055.1,1057.95,2704841
2010-06-17,RELIANCE,1063.3,1077.0,1058.3,1071.4,4811174
2010-06-18,RELIANCE,1080.2,1089.8,1050.55,1054.35,8749692
2010-06-21,RELIANCE,1061.0,1071.7,1061.0,1065.65,2695660
2010-06-22,RELIANCE,1063.0,1074.8,1056.95,1063.8,2950749
2010-06-23,RELIANCE,1059.7,1067.5,1054.0,1058.7,2665095
2010-06-24,RELIANCE,1059.0,1065.8,1047.3,1052.05,4298567
2010-06-25,RELIANCE,1050.0,1068.0,1043.0,1062.95,4646050
2010-06-28,RELIANCE,1074.0,1092.0,1065.15,1090.15,7194118
2010-06-29,RELIANCE,1091.0,1091.0,1064.2,1067.45,3249076
2010-06-30,RELIANCE,1060.0,1093.95,1057.5,1089.85,6088910
2010-07-01,RELIANCE,1084.0,1086.35,1066.5,1076.25,3042649
2010-07-02,RELIANCE,1076.0,1083.95,1065.3,1068.95,2502708
2010-07-05,RELIANCE,1070.0,1073.15,1062.7,1068.3,1462821
